id,model,thr_eff,p_it_kW,E_it,E_site,CF_op,CF_emb,CF_tot,C_elec,C_dep,C_maint,C_tot,Mtok_life
DGX-A100,LLaMA 2-13B,11200.0,4.875,0.120908,0.15718,0.08964,0.002989,0.092629,0.094308,1.132493,0.283123,1.509924,1236211.2
DGX-H100,Llama 3.1-8B,40000.0,7.65,0.053125,0.069062,0.039386,0.000886,0.040273,0.041437,0.543596,0.135899,0.720933,4415040.0
DGX-H200,Gemma 4-31B,16000.0,7.65,0.132812,0.172656,0.098466,0.002216,0.100682,0.103594,1.698739,0.424685,2.227017,1766016.0
DGX-B200,MiniMax-M2（表中记作 MiniMax-M2.7，需确认命名）,25000.0,10.725,0.119167,0.154917,0.088349,0.001548,0.089897,0.09295,1.304631,0.326158,1.723739,2759400.0
