模型,总参数B,激活参数B,架构,专家数,量化精度,权重显存GB,KV-Cache特性,配属平台,平台总显存GB,显存占用率,PPT_J/tok_文本,PPT_J/tok_代码,跨场景放大,GPU侧kWh/百万tok_文本,GPU侧kWh/百万tok_代码,多模态支持,实测吞吐tok/s,实测TTFT_ms,实测TPOT_ms,实测GPU利用率%,有效Token率η
MiniMax-M2.7 REAP,172,10,MoE + REAP剪枝,—,BF16,344,标准,DGX-A100,640,54%,0.85,0.86,1.01,0.236,0.239,否（PPT标注文·代）,待实测,待实测,待实测,待实测,待实测
MiMo-V2-Flash,PPT未给出,PPT未给出,MoE Hybrid SWA+GA,—,FP8 block,待确认,SWA滑窗，KV常数化,DGX-H100,640,待确认,0.92,1.43,1.55,0.256,0.397,否（PPT标注文·代）,待实测,待实测,待实测,待实测,待实测
Qwen 3.5-397B-A17B,397,17,MoE,384E,FP8,397,标准,DGX-H200,1128,35%,1.07,2.18,2.04,0.297,0.606,否（PPT标注文·代）,待实测,待实测,待实测,待实测,待实测
DeepSeek-V4-Flash,PPT未给出,PPT未给出,MoE Hybrid CSA+HCA,—,FP4+FP8,待确认,CSA+HCA,DGX-B200,1440,待确认,0.97,1.92,1.98,0.269,0.533,否（PPT标注文·代）,待实测,待实测,待实测,待实测,待实测
