平台,GPU架构,GPU型号,GPU数量,单卡显存GB,总显存GB,单卡显存带宽GB/s,整机聚合带宽TB/s,单卡TDP_W,GPU总TDP_kW,支持精度,系统内存TB,铭牌最大功率kW,非GPU部件功率kW(估),PSU效率,实测整机功率kW,整机质量kg,质量备注,隐含碳kgCO2e(估),购置价万元(估),平台定位,配属模型
DGX-A100,Ampere,A100 SXM,8,80,640,2039,16.3,400,3.2,BF16/FP16/TF32/INT8,2,6.5,1.9,0.94,待PDU实测,123.16,厂商标称,3695,140,基准平台,MiniMax-M2.7
DGX-H100,Hopper,H100 SXM,8,80,640,3350,26.8,700,5.6,+FP8,2,10.2,2.3,0.94,待PDU实测,130.45,厂商标称,3913,240,高性能计算,MiMo-V2-Flash
DGX-H200,Hopper,H200 SXM,8,141,1128,4800,38.4,700,5.6,+FP8,2,10.2,2.3,0.94,待PDU实测,130.45,原表“待核实”，按与H100同底座取值,3913,300,大显存推理,Qwen3.5-397B
DGX-B200,Blackwell,B200 SXM,8,180,1440,8000,64.0,1000,8.0,+FP8/FP4,2,14.3,2.6,0.94,待PDU实测,142.4,厂商标称,4272,360,新一代AI计算,DeepSeek-V4
